date,amount,category
5/14/2018,5.32,airfare
11/2/2018,2.22,online
2/15/2018,932.68,miscellaneous
5/18/2018,6.45,paypal
2/26/2018,10.89,airfare
7/23/2018,69.49,gas
6/21/2018,54.02,amazon
8/18/2018,526.01,supermarkets
7/26/2018,61.64,airfare
3/29/2018,1.34,paypal
4/17/2018,66.87,miscellaneous
2/12/2018,7.44,online
5/6/2018,288.31,restaurants
1/13/2018,66.03,supermarkets
2/11/2018,3.62,wholesale_clubs
8/8/2018,659.38,travel_other
7/29/2018,0.16,supermarkets
12/24/2018,4.16,wholesale_clubs
12/14/2018,7.36,airfare
8/27/2018,331.55,departmental_store
3/8/2018,3.49,hotel
5/16/2018,65.06,restaurants
1/30/2018,206.16,paypal
10/24/2018,339.32,supermarkets
8/5/2018,2.39,supermarkets
2/16/2018,327.93,airfare
10/16/2018,812.45,restaurants
4/11/2018,4.44,groceries
12/17/2018,669.22,wholesale_clubs
1/23/2018,93.86,online
11/1/2018,981.11,miscellaneous
5/13/2018,14.34,supermarkets
7/14/2018,82.13,wholesale_clubs
11/17/2018,615.35,paypal
2/12/2018,213.18,amazon
2/15/2018,18.65,supermarkets
2/21/2018,4.48,gas
9/9/2018,1.61,supermarkets
9/25/2018,93.28,groceries
7/9/2018,8.09,wholesale_clubs
7/27/2018,52.35,groceries
9/14/2018,4.5,gas
2/24/2018,49.41,airfare
4/11/2018,0.29,departmental_store
7/26/2018,5.94,wholesale_clubs
6/24/2018,74.66,airfare
8/11/2018,90.37,miscellaneous
12/9/2018,370.74,paypal
5/24/2018,48.02,amazon
1/28/2018,16.02,travel_other
7/28/2018,329.23,departmental_store
1/12/2018,828.92,travel_other
10/8/2018,274.74,groceries
3/11/2018,979.28,restaurants
6/14/2018,499.99,departmental_store
1/25/2018,94.19,amazon
6/13/2018,0.15,paypal
11/10/2018,97.9,departmental_store
2/21/2018,425.06,airfare
10/17/2018,120.02,miscellaneous
5/8/2018,931.38,supermarkets
9/8/2018,32.73,miscellaneous
5/2/2018,57.36,gas
6/5/2018,104.78,restaurants
6/3/2018,6.08,gas
9/28/2018,5.47,groceries
5/1/2018,734.93,gas
5/20/2018,7.94,paypal
2/22/2018,9.21,restaurants
10/30/2018,984.43,gas
12/16/2018,515.29,gas
12/2/2018,5.51,groceries
9/8/2018,6.67,hotel
1/17/2018,5.47,online
1/2/2018,50.86,groceries
6/8/2018,17.4,hotel
12/6/2018,1.35,supermarkets
4/23/2018,1.61,airfare
10/21/2018,107.76,travel_other
11/10/2018,7.55,amazon
10/21/2018,824.01,airfare
9/11/2018,358.51,travel_other
7/5/2018,382.81,hotel
11/10/2018,464.64,paypal
2/26/2018,12.63,supermarkets
2/2/2018,26.26,travel_other
5/21/2018,49.53,gas
10/5/2018,43.04,travel_other
8/22/2018,63.43,hotel
1/27/2018,139.41,departmental_store
11/16/2018,46.76,online
4/7/2018,6.46,airfare
7/1/2018,0.54,restaurants
9/9/2018,7.83,paypal
5/27/2018,698.94,paypal
3/2/2018,751.89,groceries
8/2/2018,63.51,groceries
6/2/2018,9.26,travel_other
5/14/2018,11.15,travel_other
5/27/2018,18.78,online
6/6/2018,5.83,online
4/11/2018,200.84,departmental_store
10/11/2018,56.77,restaurants
1/23/2018,639.52,hotel
10/9/2018,376.34,miscellaneous
7/15/2018,58.71,gas
10/16/2018,61.12,hotel
4/22/2018,430.48,miscellaneous
11/8/2018,945.39,supermarkets
2/1/2018,6.25,gas
2/16/2018,55.99,travel_other
9/9/2018,385.49,restaurants
10/30/2018,2.53,supermarkets
6/22/2018,4.75,groceries
6/10/2018,2.54,airfare
12/9/2018,403.48,restaurants
7/4/2018,69.76,gas
6/20/2018,11.1,airfare
8/24/2018,3.08,supermarkets
9/19/2018,0.02,travel_other
4/3/2018,7.47,online
11/29/2018,461.04,supermarkets
3/13/2018,0.09,wholesale_clubs
8/20/2018,99.72,gas
3/15/2018,82.37,paypal
7/16/2018,889.19,airfare
3/3/2018,3.63,online
2/19/2018,5.16,wholesale_clubs
11/15/2018,68.77,amazon
2/24/2018,273.57,amazon
1/11/2018,56.41,supermarkets
7/29/2018,96.98,amazon
3/7/2018,58.94,paypal
11/29/2018,911.6,amazon
2/12/2018,27.55,miscellaneous
7/1/2018,522.84,groceries
2/25/2018,6.32,amazon
10/1/2018,692.93,groceries
2/20/2018,5.12,miscellaneous
8/5/2018,82.89,restaurants
3/23/2018,6.09,amazon
2/19/2018,8.35,restaurants
12/6/2018,6.18,hotel
2/25/2018,930.07,miscellaneous
5/15/2018,8.25,departmental_store
11/21/2018,813.64,miscellaneous
1/25/2018,2.34,supermarkets
5/22/2018,384.83,airfare
10/19/2018,4.21,travel_other
11/22/2018,72.85,amazon
12/25/2018,55.12,gas
4/29/2018,82.83,hotel
10/29/2018,4.88,groceries
6/21/2018,68.43,travel_other
11/25/2018,484.16,departmental_store
7/28/2018,52.68,paypal
1/21/2018,787.22,restaurants
3/1/2018,425.19,amazon
10/3/2018,316.7,groceries
6/16/2018,142.73,miscellaneous
12/24/2018,560.87,wholesale_clubs
6/21/2018,0.48,departmental_store
1/4/2018,3.88,restaurants
5/23/2018,828.79,airfare
3/9/2018,80.57,groceries
7/22/2018,815.21,travel_other
6/26/2018,22.16,paypal
1/12/2018,31.04,hotel
12/23/2018,7.22,supermarkets
10/4/2018,418.36,restaurants
4/3/2018,67.59,miscellaneous
7/25/2018,2.84,miscellaneous
6/27/2018,254.16,travel_other
6/11/2018,16.9,online
8/21/2018,7.57,miscellaneous
3/2/2018,3.85,restaurants
1/20/2018,5.57,airfare
9/28/2018,692,travel_other
6/3/2018,641.47,travel_other
8/28/2018,33.69,supermarkets
4/11/2018,61.2,supermarkets
5/30/2018,48.59,wholesale_clubs
2/12/2018,6.36,wholesale_clubs
3/21/2018,9.73,departmental_store
3/7/2018,254.75,paypal
10/21/2018,5.42,wholesale_clubs
4/8/2018,6.22,departmental_store
5/10/2018,20.73,hotel
3/30/2018,983.11,groceries
2/18/2018,1.92,groceries
10/18/2018,5.25,online
12/14/2018,466.6,wholesale_clubs
5/29/2018,56.79,miscellaneous
3/1/2018,9.17,supermarkets
10/14/2018,280,supermarkets
12/24/2018,50.41,departmental_store
1/22/2018,396.56,paypal
9/12/2018,93.94,airfare
10/22/2018,31.18,paypal
4/4/2018,0.13,miscellaneous
1/9/2018,0.16,travel_other
2/18/2018,508.44,paypal
12/9/2018,76.81,paypal
6/12/2018,18.64,amazon
3/26/2018,15.09,wholesale_clubs
1/3/2018,975.58,departmental_store
5/28/2018,7.81,departmental_store
10/30/2018,0.87,airfare
4/1/2018,6.2,amazon
8/12/2018,8.24,hotel
1/27/2018,9.85,supermarkets
8/4/2018,62.18,departmental_store
11/19/2018,66.67,online
2/1/2018,3.91,departmental_store
8/18/2018,787.9,amazon
3/29/2018,29.2,amazon
6/19/2018,7.8,miscellaneous
7/20/2018,8.18,miscellaneous
1/26/2018,487.37,online
12/18/2018,6.81,departmental_store
5/4/2018,4.63,airfare
11/1/2018,2.73,airfare
11/25/2018,64.02,airfare
12/1/2018,31.65,wholesale_clubs
3/12/2018,107.21,paypal
12/10/2018,832.78,amazon
11/21/2018,169.62,travel_other
1/30/2018,5.53,groceries
1/14/2018,8.92,airfare
1/12/2018,485.51,paypal
12/16/2018,313.73,travel_other
10/20/2018,4.55,groceries
8/25/2018,83.83,amazon
12/19/2018,635.95,airfare
3/1/2018,2.71,travel_other
7/12/2018,387.08,paypal
6/17/2018,1.7,hotel
8/11/2018,445.39,gas
5/8/2018,905.69,travel_other
9/3/2018,1.45,supermarkets
8/25/2018,725.92,supermarkets
9/12/2018,2.8,departmental_store
2/2/2018,263.03,paypal
9/11/2018,8.23,departmental_store
7/9/2018,428.1,gas
12/30/2018,913.31,supermarkets
10/2/2018,1.73,hotel
7/19/2018,97.04,online
10/1/2018,16.57,wholesale_clubs
5/10/2018,3.97,departmental_store
7/20/2018,2.39,departmental_store
5/16/2018,793.29,wholesale_clubs
1/11/2018,475.21,wholesale_clubs
7/26/2018,270.53,groceries
7/25/2018,83.07,online
10/27/2018,1.89,airfare
8/20/2018,0.39,amazon
4/8/2018,5.41,online
11/12/2018,6.62,amazon
9/23/2018,17.82,supermarkets
11/3/2018,516.75,airfare
9/23/2018,7.09,airfare
2/24/2018,60.55,airfare
11/4/2018,34.27,hotel
3/21/2018,888.07,airfare
4/20/2018,8.39,supermarkets
7/17/2018,1.61,gas
1/12/2018,62.82,gas
6/4/2018,23.61,amazon
10/4/2018,429.22,airfare
2/3/2018,69.83,travel_other
3/11/2018,37.7,miscellaneous
2/8/2018,390.69,hotel
6/4/2018,9.47,hotel
8/1/2018,6.78,departmental_store
3/19/2018,16.66,travel_other
6/19/2018,1.7,online
11/21/2018,60.47,travel_other
3/6/2018,57.85,online
12/17/2018,29.96,restaurants
10/19/2018,9.43,miscellaneous
8/25/2018,29.06,online
12/24/2018,4.55,restaurants
2/21/2018,1.6,departmental_store
11/12/2018,511.39,wholesale_clubs
5/30/2018,7.34,departmental_store
7/1/2018,9.21,airfare
10/2/2018,0.83,travel_other
4/19/2018,16.2,gas
4/18/2018,509.75,travel_other
9/7/2018,13.94,airfare
7/18/2018,7.42,travel_other
10/12/2018,15.99,supermarkets
6/9/2018,91.23,travel_other
12/11/2018,1.88,miscellaneous
8/12/2018,5.84,supermarkets
8/3/2018,44.69,supermarkets
1/11/2018,45.79,gas
11/27/2018,62.49,miscellaneous
12/2/2018,39.44,amazon
4/14/2018,4.88,travel_other
2/24/2018,17.3,travel_other
9/3/2018,659.74,amazon
1/26/2018,89.2,online
4/17/2018,129.03,travel_other
1/4/2018,8.13,miscellaneous
2/16/2018,37.66,departmental_store
2/7/2018,9.36,travel_other
8/18/2018,83.2,wholesale_clubs
4/10/2018,884.69,miscellaneous
1/2/2018,47.04,gas
1/5/2018,332.62,miscellaneous
9/6/2018,5.24,online
9/29/2018,969.7,groceries
10/19/2018,2.73,groceries
1/26/2018,537.53,departmental_store
12/3/2018,570.89,travel_other
5/4/2018,265.94,miscellaneous
2/16/2018,30.48,supermarkets
12/6/2018,558,paypal
4/21/2018,1.9,gas
10/10/2018,55,airfare
6/21/2018,40.26,supermarkets
8/19/2018,49.44,gas
1/13/2018,8.11,online
2/21/2018,24.33,departmental_store
11/14/2018,5.82,online
6/2/2018,5.39,wholesale_clubs
5/4/2018,31.69,wholesale_clubs
10/19/2018,9.62,supermarkets
3/17/2018,1.59,departmental_store
12/22/2018,293.97,gas
6/27/2018,383,wholesale_clubs
1/4/2018,9.31,groceries
6/17/2018,6.78,paypal
3/3/2018,42.41,travel_other
5/2/2018,931.75,hotel
9/16/2018,967.2,miscellaneous
10/25/2018,3.22,amazon
2/16/2018,27.89,paypal
10/23/2018,35.6,departmental_store
8/6/2018,64.51,gas
4/5/2018,6.3,airfare
10/3/2018,12.52,amazon
6/2/2018,965.94,paypal
4/21/2018,27.06,amazon
3/26/2018,956.52,online
7/11/2018,3.6,groceries
10/5/2018,5.33,travel_other
3/10/2018,95.85,hotel
4/15/2018,99.39,supermarkets
2/25/2018,74.39,online
12/10/2018,312.41,amazon
2/12/2018,8.48,restaurants
8/21/2018,1.46,gas
6/19/2018,53.46,hotel
6/29/2018,46.5,travel_other
6/21/2018,68.42,amazon
10/30/2018,9.62,airfare
4/11/2018,38.56,wholesale_clubs
12/3/2018,60.62,miscellaneous
11/10/2018,5.33,groceries
9/8/2018,409.01,paypal
3/26/2018,11.14,supermarkets
2/8/2018,6.03,groceries
2/11/2018,3.49,travel_other
2/15/2018,44.85,amazon
10/27/2018,6.88,amazon
6/7/2018,9.88,travel_other
1/3/2018,855.12,supermarkets
8/14/2018,816.1,supermarkets
3/6/2018,887.87,wholesale_clubs
3/17/2018,56.84,hotel
5/8/2018,15.01,departmental_store
1/20/2018,877.58,paypal
2/19/2018,345.73,groceries
10/3/2018,42.83,miscellaneous
11/23/2018,60.64,airfare
6/19/2018,52.43,restaurants
12/24/2018,497.47,miscellaneous
1/26/2018,47.43,hotel
1/1/2018,392.73,amazon
1/3/2018,4.96,restaurants
4/25/2018,2.25,wholesale_clubs
9/21/2018,98.69,travel_other
4/12/2018,6.65,amazon
1/10/2018,15.04,online
1/5/2018,73.12,airfare
5/23/2018,804.88,hotel
3/24/2018,8.22,gas
3/13/2018,8.21,supermarkets
11/26/2018,110.92,supermarkets
10/27/2018,77.75,hotel
2/24/2018,84.68,groceries
3/26/2018,707.89,amazon
12/18/2018,57.31,gas
12/21/2018,358.48,wholesale_clubs
11/4/2018,387.53,amazon
8/5/2018,93.11,online
11/2/2018,22.82,hotel
2/16/2018,48.63,groceries
11/26/2018,42.88,travel_other
8/20/2018,6.13,supermarkets
4/5/2018,4.83,groceries
8/11/2018,795.27,gas
9/25/2018,1.42,amazon
3/1/2018,8.96,airfare
3/12/2018,9.73,wholesale_clubs
3/27/2018,41.75,supermarkets
12/10/2018,226.11,airfare
5/11/2018,156.9,wholesale_clubs
7/29/2018,260.21,supermarkets
9/1/2018,1.6,paypal
1/22/2018,77.21,restaurants
7/6/2018,743.51,groceries
6/10/2018,1.47,paypal
9/5/2018,5.29,departmental_store
2/8/2018,30.35,miscellaneous
2/27/2018,0.42,paypal
6/28/2018,3.4,departmental_store
4/16/2018,77.36,miscellaneous
2/26/2018,9.42,miscellaneous
10/5/2018,178.85,amazon
3/16/2018,6.86,gas
9/9/2018,7.84,departmental_store
3/19/2018,572.72,airfare
10/27/2018,5.4,online
12/2/2018,283.3,departmental_store
5/23/2018,6.93,supermarkets
8/13/2018,2.69,amazon
12/28/2018,984.12,groceries
5/25/2018,8.36,miscellaneous
6/27/2018,4.33,departmental_store
5/16/2018,4.01,restaurants
2/4/2018,5.94,restaurants
5/3/2018,174.23,departmental_store
4/13/2018,4.6,online
8/8/2018,490.1,paypal
10/26/2018,583.11,departmental_store
5/6/2018,16.58,miscellaneous
12/21/2018,273.01,online
1/29/2018,4.33,airfare
5/15/2018,13.23,amazon
1/28/2018,22.23,gas
10/15/2018,329.04,departmental_store
6/28/2018,96.26,miscellaneous
12/8/2018,450.07,departmental_store
10/10/2018,906.46,supermarkets
4/15/2018,65.71,groceries
2/22/2018,2.66,travel_other
11/12/2018,316.65,online
10/7/2018,42.17,groceries
6/14/2018,6.08,airfare
12/7/2018,16.59,hotel
4/28/2018,9.84,airfare
5/4/2018,1.29,amazon
11/7/2018,92.75,groceries
4/16/2018,528.38,hotel
12/17/2018,78.11,supermarkets
3/17/2018,26.84,wholesale_clubs
7/30/2018,589.26,amazon
8/27/2018,6.73,groceries
6/26/2018,55.81,travel_other
5/8/2018,1.14,hotel
7/28/2018,431.24,hotel
2/3/2018,28.13,restaurants
10/22/2018,458.23,wholesale_clubs
8/16/2018,309.97,hotel
5/3/2018,81.53,amazon
6/26/2018,2.79,wholesale_clubs
1/5/2018,87.18,gas
8/5/2018,4.41,paypal
2/25/2018,7.08,miscellaneous
11/4/2018,594.02,hotel
3/22/2018,788.34,hotel
8/17/2018,4.18,restaurants
6/6/2018,724.91,online
7/21/2018,8.15,travel_other
6/2/2018,980.33,travel_other
1/18/2018,4.53,departmental_store
2/16/2018,94.01,airfare
6/19/2018,0.21,amazon
1/28/2018,19.42,restaurants
1/6/2018,177.85,departmental_store
4/4/2018,9.35,online
7/3/2018,311.07,gas
8/21/2018,98.68,miscellaneous
3/11/2018,356.48,amazon
2/6/2018,6.71,miscellaneous
4/25/2018,1.59,paypal
7/10/2018,6.19,restaurants
3/24/2018,665.71,gas
10/13/2018,125.87,hotel
4/26/2018,97.1,supermarkets
8/11/2018,432.84,amazon
6/11/2018,92.19,wholesale_clubs
3/18/2018,53.41,restaurants
7/5/2018,506.46,supermarkets
3/25/2018,723.34,wholesale_clubs
11/20/2018,0.48,departmental_store
2/2/2018,8,gas
11/4/2018,45.33,groceries
4/5/2018,2.72,miscellaneous
9/10/2018,630.77,supermarkets
7/11/2018,44.59,hotel
2/26/2018,520.28,supermarkets
10/3/2018,0.08,departmental_store
6/21/2018,32.81,airfare
5/17/2018,517.63,restaurants
7/13/2018,715.38,miscellaneous
8/8/2018,3.31,departmental_store
5/26/2018,188.27,groceries
6/26/2018,8.91,supermarkets
7/22/2018,78.44,departmental_store
11/13/2018,56.63,online
5/21/2018,2.6,airfare
1/17/2018,2.28,amazon
9/26/2018,9.85,travel_other
4/8/2018,902.8,departmental_store
7/16/2018,891.72,miscellaneous
3/28/2018,205.16,wholesale_clubs
7/28/2018,83.8,amazon
11/8/2018,73.65,gas
11/22/2018,54.5,gas
10/2/2018,8.2,travel_other
10/1/2018,8.54,paypal
2/5/2018,135.65,online
7/1/2018,7.11,airfare
9/6/2018,39.98,hotel
3/17/2018,6.7,wholesale_clubs
12/13/2018,83.24,airfare
2/5/2018,14.29,hotel
7/18/2018,5.67,airfare
8/22/2018,414.9,restaurants
8/10/2018,9.25,paypal
4/4/2018,487.65,miscellaneous
1/17/2018,4.39,online
8/7/2018,57.95,departmental_store
10/6/2018,384.97,hotel
11/16/2018,41.28,restaurants
9/4/2018,976.43,wholesale_clubs
11/29/2018,571.4,restaurants
4/26/2018,9.84,gas
10/30/2018,47.66,paypal
2/26/2018,5.99,supermarkets
3/21/2018,78.85,airfare
4/28/2018,3.7,amazon
7/11/2018,167.12,paypal
10/10/2018,638.24,amazon
3/5/2018,81.6,travel_other
9/14/2018,880.35,amazon
9/12/2018,221.98,online
1/6/2018,2.57,departmental_store
2/1/2018,2.33,gas
2/16/2018,14.23,travel_other
6/10/2018,344.68,miscellaneous
11/20/2018,3.84,restaurants
1/13/2018,75.56,gas
1/28/2018,26.76,gas
9/28/2018,150.16,airfare
11/6/2018,6.62,hotel
11/23/2018,1.6,miscellaneous
12/16/2018,94.45,online
8/5/2018,163.43,gas
3/4/2018,9.06,paypal
10/8/2018,4.26,miscellaneous
7/21/2018,8.7,wholesale_clubs
2/22/2018,9.14,online
8/3/2018,65.25,amazon
9/28/2018,932.55,wholesale_clubs
7/30/2018,4.21,hotel
6/23/2018,2.31,supermarkets
9/25/2018,8.46,departmental_store
7/22/2018,3.64,airfare
4/4/2018,7.01,travel_other
11/26/2018,351.55,groceries
2/21/2018,3.92,groceries
5/19/2018,676.66,paypal
2/16/2018,548.74,online
4/26/2018,6.73,airfare
3/3/2018,6.76,departmental_store
11/12/2018,867.57,amazon
11/3/2018,460.75,groceries
8/27/2018,4.64,restaurants
12/10/2018,811.76,amazon
9/15/2018,3.48,gas
1/26/2018,721.11,gas
7/9/2018,221.08,airfare
2/25/2018,17.17,hotel
12/25/2018,840.74,restaurants
4/1/2018,667.59,miscellaneous
10/15/2018,694.85,hotel
7/20/2018,37.74,miscellaneous
4/9/2018,27.75,miscellaneous
11/19/2018,724.55,departmental_store
6/26/2018,65.51,miscellaneous
7/25/2018,5.93,supermarkets
10/3/2018,20.69,groceries
5/13/2018,689.23,miscellaneous
9/19/2018,6.6,airfare
6/13/2018,2.68,restaurants
3/28/2018,5.23,miscellaneous
8/14/2018,8.26,restaurants
11/23/2018,0.51,amazon
1/22/2018,172.41,amazon
8/29/2018,41.82,restaurants
5/15/2018,98.75,amazon
4/14/2018,327.57,departmental_store
1/28/2018,68.66,wholesale_clubs
4/13/2018,98.67,departmental_store
6/27/2018,145.76,restaurants
7/25/2018,72.74,wholesale_clubs
9/18/2018,0.59,restaurants
8/3/2018,541.6,airfare
12/4/2018,85.74,wholesale_clubs
5/27/2018,62.24,restaurants
9/15/2018,6.39,departmental_store
9/2/2018,57.91,hotel
11/11/2018,727.25,restaurants
1/14/2018,116.59,travel_other
6/13/2018,34.31,travel_other
4/24/2018,4.99,groceries
11/16/2018,7.63,miscellaneous
5/11/2018,7.66,wholesale_clubs
9/21/2018,67.83,amazon
12/23/2018,346.22,hotel
11/2/2018,870.58,hotel
9/20/2018,14.02,hotel
6/28/2018,87.76,supermarkets
9/7/2018,4.37,supermarkets
5/25/2018,3.63,wholesale_clubs
9/18/2018,272.01,restaurants
9/2/2018,416.15,airfare
10/13/2018,73.12,supermarkets
4/10/2018,3.66,miscellaneous
3/14/2018,7.65,wholesale_clubs
4/10/2018,143.99,wholesale_clubs
9/2/2018,120.3,supermarkets
5/11/2018,1.35,departmental_store
4/25/2018,5.66,hotel
6/28/2018,4.1,paypal
8/22/2018,71.57,wholesale_clubs
6/1/2018,8.51,supermarkets
10/26/2018,94.78,restaurants
1/8/2018,0.34,airfare
3/17/2018,2.87,groceries
4/21/2018,34.22,groceries
7/23/2018,97.41,supermarkets
12/12/2018,487.09,groceries
4/7/2018,30.9,amazon
2/5/2018,844.26,wholesale_clubs
2/18/2018,72.93,miscellaneous
2/1/2018,0.95,paypal
7/11/2018,8.15,miscellaneous
2/26/2018,2.96,travel_other
11/9/2018,12.4,supermarkets
2/3/2018,3.33,groceries
8/28/2018,595.43,miscellaneous
7/1/2018,8.62,supermarkets
4/20/2018,108.17,paypal
4/20/2018,96.08,amazon
9/18/2018,4.56,departmental_store
9/14/2018,33.32,paypal
6/5/2018,1.27,travel_other
3/24/2018,40.1,paypal
11/9/2018,9.49,airfare
9/25/2018,57.21,paypal
6/28/2018,49.99,departmental_store
4/16/2018,588.32,departmental_store
9/1/2018,37.44,travel_other
5/16/2018,48.93,amazon
6/15/2018,6.68,hotel
11/29/2018,72.44,amazon
5/4/2018,890.45,paypal
8/28/2018,110.15,restaurants
2/10/2018,87.88,airfare
11/14/2018,71.91,departmental_store
11/16/2018,706.9,airfare
1/1/2018,108.44,travel_other
3/29/2018,6.95,supermarkets
6/5/2018,2.28,miscellaneous
5/16/2018,3.4,miscellaneous
2/3/2018,1.38,gas
6/7/2018,9.52,supermarkets
9/17/2018,739.29,airfare
12/2/2018,66.02,miscellaneous
12/15/2018,6.88,groceries
8/15/2018,93.88,online
1/21/2018,6.74,wholesale_clubs
7/17/2018,63.08,departmental_store
10/28/2018,20.14,departmental_store
11/5/2018,697.6,amazon
6/3/2018,1.93,supermarkets
9/8/2018,6.29,restaurants
2/24/2018,752.88,supermarkets
10/17/2018,700.74,amazon
6/16/2018,951.75,gas
12/15/2018,1.09,miscellaneous
11/13/2018,8.51,restaurants
8/30/2018,5.14,wholesale_clubs
9/29/2018,669.62,gas
5/9/2018,6.25,departmental_store
4/23/2018,7.62,restaurants
12/28/2018,66.6,supermarkets
10/20/2018,719.73,restaurants
1/15/2018,772.14,online
4/7/2018,72.38,gas
7/25/2018,0.78,gas
3/3/2018,152.18,hotel
8/11/2018,39.19,paypal
12/1/2018,8.62,miscellaneous
9/7/2018,70.88,miscellaneous
3/29/2018,9.5,gas
9/16/2018,50.23,supermarkets
10/7/2018,7.83,miscellaneous
4/24/2018,85.59,hotel
11/14/2018,462.88,amazon
10/22/2018,4.54,supermarkets
6/21/2018,1.63,restaurants
4/14/2018,4.53,restaurants
8/26/2018,833.36,travel_other
5/27/2018,241.73,airfare
1/23/2018,381.12,wholesale_clubs
8/24/2018,928.41,gas
2/19/2018,19.01,travel_other
9/22/2018,1.63,hotel
6/13/2018,79.54,amazon
5/20/2018,7.14,wholesale_clubs
1/7/2018,4.94,miscellaneous
12/29/2018,895.4,gas
4/16/2018,9.65,miscellaneous
3/19/2018,0.89,hotel
9/13/2018,5.24,supermarkets
7/15/2018,50.64,amazon
6/21/2018,671.67,hotel
9/16/2018,4.87,groceries
4/2/2018,107.01,paypal
4/15/2018,8.11,restaurants
10/2/2018,7.09,amazon
11/8/2018,74.38,paypal
6/17/2018,29.73,hotel
5/11/2018,52.67,restaurants
10/6/2018,4.2,miscellaneous
3/4/2018,853.12,online
2/15/2018,7.23,paypal
1/1/2018,80.44,hotel
8/10/2018,813.02,amazon
7/11/2018,534.95,amazon
3/22/2018,310.61,restaurants
3/4/2018,3.89,groceries
6/10/2018,11,restaurants
7/10/2018,389.96,hotel
4/13/2018,401.56,hotel
12/9/2018,65.36,miscellaneous
6/11/2018,34.29,online
6/14/2018,8.23,hotel
9/16/2018,9.26,amazon
5/16/2018,8.83,gas
10/14/2018,121.26,hotel
9/3/2018,885.89,wholesale_clubs
1/17/2018,76.1,departmental_store
8/1/2018,6.12,amazon
10/15/2018,80.86,restaurants
7/6/2018,98.99,paypal
5/30/2018,651.29,groceries
5/4/2018,8.86,hotel
3/7/2018,92.17,restaurants
12/12/2018,88.84,amazon
10/16/2018,3.46,hotel
1/14/2018,760.21,restaurants
10/24/2018,617.95,travel_other
4/14/2018,8.07,departmental_store
11/18/2018,92.92,paypal
3/8/2018,650.86,wholesale_clubs
7/8/2018,3.24,paypal
12/3/2018,54.02,airfare
3/27/2018,1.2,amazon
11/6/2018,240.12,airfare
9/23/2018,50.02,supermarkets
4/20/2018,5.83,gas
12/6/2018,9.67,miscellaneous
6/11/2018,4.71,supermarkets
6/2/2018,812.23,travel_other
10/26/2018,50.96,travel_other
11/5/2018,7.64,gas
6/13/2018,2.24,departmental_store
4/20/2018,52.37,gas
1/6/2018,94.35,restaurants
1/13/2018,84.06,online
6/16/2018,130.15,airfare
7/27/2018,4.08,supermarkets
6/20/2018,5.08,paypal
2/4/2018,52.39,restaurants
10/14/2018,3.77,gas
8/24/2018,81.19,wholesale_clubs
2/17/2018,616.93,groceries
6/2/2018,94.88,amazon
10/27/2018,341.25,restaurants
8/10/2018,540.43,restaurants
2/25/2018,0.21,hotel
