Trans. Date,Post Date,Description,Amount,Category
3/23/17,3/23/17,SILVER DRAGON CAFE OAKLAND CA,10.91,Restaurants
4/4/17,4/4/17,GA TECH BUZZCARD WEB 404-3851924 GA,5,Education
4/4/17,4/4/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
4/6/17,4/6/17,APL* ITUNES.COM/BILL 866-712-7753 CA200WYKDT MXJDZ3HYLX-0,0.99,Merchandise
4/10/17,4/10/17,GA TECH POST OFFICE ATLANTA GA,6.65,Government Services
4/10/17,4/10/17,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
4/11/17,4/11/17,SPOTIFY NEW YORK CITYNY,5.47,Merchandise
4/12/17,4/12/17,INTERNET PAYMENT - THANK YOU,-500,Payments and Credits
4/13/17,4/13/17,AMAZON.COM AMZN.COM/BILLWA1KO7HZK5HUE,8.48,Merchandise
4/17/17,4/17/17,APL* ITUNES.COM/BILL 866-712-7753 CA200X9LPP MXJDZY2128-0,5.49,Merchandise
4/20/17,4/20/17,INTEREST CHARGE ON PURCHASES,8.31,Interest
4/21/17,4/21/17,LUCID SOFTWARE INC. 844-465-8243 UT,59.4,Merchandise
4/23/17,4/23/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAPTKUABRFX4Z,10.99,Merchandise
4/23/17,4/23/17,CAMPUS CARRIERS LLC 866-606-8504 NC,280,Travel/ Entertainment
4/24/17,4/24/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
4/24/17,4/24/17,PAYPAL *GRUBHUBFOOD LUC 402-935-7733 CA,14.17,Services
4/26/17,4/26/17,GA TECH PAN24416604579 ATLANTA GAAPPLE PAY ENDING IN 7523,6.53,Restaurants
5/1/17,5/1/17,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
5/1/17,5/1/17,PAYPAL *GRUBHUBFOOD SUS 402-935-7733 CA,14.84,Services
5/5/17,5/5/17,PAYPAL *GRUBHUBFOOD WIN 402-935-7733 CA,16.58,Services
5/6/17,5/6/17,APL* ITUNES.COM/BILL 866-712-7753 CA200XSL1Q MXJFLKS0Q6-0,0.99,Merchandise
5/8/17,5/8/17,GA INST TECH PAYPATH 913-599-6699 KS,400,Education
5/8/17,5/8/17,PAYPATH S FEE GA TECH 913-599-6699 KS,11,Education
5/11/17,5/11/17,SPOTIFY NEW YORK CITYNY,5.49,Merchandise
5/14/17,5/14/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA2OPDH65I5OG,17.42,Merchandise
5/14/17,5/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA200Y0RHS MXJFT49F3J-0,2.22,Merchandise
5/14/17,5/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA200Y0RHR MXJFM2LQ3L-0,5.49,Merchandise
5/15/17,5/15/17,GOOGLE *GOOGLE PLAY G.CO/PAYHELP#CAP0DVETMK,3.29,Services
5/17/17,5/17/17,ETS*GRE EXAM 866-473-4373 NJ82851058,205,Education
5/20/17,5/20/17,INTEREST CHARGE ON PURCHASES,10.87,Interest
5/26/17,5/26/17,GOOGLE *GOOGLE PLAY G.CO/PAYHELP#CAP0E3HYB5,3.29,Services
5/27/17,5/27/17,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-10.57,Awards and Rebate Credits
5/27/17,5/27/17,INTERNET PAYMENT - THANK YOU,-24.43,Payments and Credits
5/29/17,5/29/17,WAL-MART STORE - #5338 SAN DIEGO CA,67.93,Merchandise
5/30/17,5/30/17,AMAZON.COM AMZN.COM/BILLWA6CY2PK436NR,60.32,Merchandise
5/31/17,5/31/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA2NRQ2J9HYNG,11.95,Merchandise
5/31/17,5/31/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAGHAOIZ9DH3W,14,Merchandise
6/5/17,6/5/17,AMAZON.COM AMZN.COM/BILLWA7DB11T0CITT,32.07,Merchandise
6/9/17,6/9/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAAZD8WEJZ31I,8.09,Merchandise
6/9/17,6/9/17,AMAZON.COM AMZN.COM/BILLWA3ILAXB3SIW4,6.99,Merchandise
6/11/17,6/11/17,SPOTIFY NEW YORK CITYNY,5.49,Merchandise
6/14/17,6/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA200YW3A4 MXJGGGXT37-0,2.99,Merchandise
6/14/17,6/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA200YW3A3 MXJGF8G9XF-0,5.49,Merchandise
6/16/17,6/16/17,INTERNET PAYMENT - THANK YOU,-700,Payments and Credits
6/16/17,6/16/17,TICKETS*KEYBANK CENTER 800-352-0212 NY21600527,177.3,Travel/ Entertainment
6/17/17,6/17/17,INTERNET PAYMENT - THANK YOU,-500,Payments and Credits
6/19/17,6/19/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6AX60ICNBJX,12.99,Merchandise
6/19/17,6/19/17,AMAZON.COM AMZN.COM/BILLWA4RSVM3BR14R,15.17,Merchandise
6/20/17,6/20/17,INTEREST CHARGE ON PURCHASES,17.12,Interest
6/21/17,6/21/17,AMAZON.COM AMZN.COM/BILLWA5KXS05Z5PIY,12.83,Merchandise
6/21/17,6/21/17,AMAZON.COM AMZN.COM/BILLWA1EYEZVC9FX2,27.3,Merchandise
6/24/17,6/24/17,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-47.23,Awards and Rebate Credits
6/24/17,6/24/17,INTERNET PAYMENT - THANK YOU,-250,Payments and Credits
6/25/17,6/25/17,ORANGE JULIUS 559.479.1437 CA,9,Restaurants
6/26/17,6/26/17,STEAMPOWERED.COM 425-952-2985 WA,6.79,Travel/ Entertainment
7/5/17,7/5/17,AMAZON.COM AMZN.COM/BILLWA6CLGV0WABAG,21.84,Merchandise
7/5/17,7/5/17,GOOGLE *GOOGLE PLAY G.CO/PAYHELP#CAP0ECECJG,2.99,Services
7/7/17,7/7/17,GOOGLE *GOOGLE PLAY G.CO/PAYHELP#CAP0EEEK30,2.99,Services
7/9/17,7/9/17,GOOGLE *GOOGLE PLAY G.CO/PAYHELP#CAP0EG05ZA,2.99,Services
7/9/17,7/9/17,INTERNET PAYMENT - THANK YOU,-100,Payments and Credits
7/11/17,7/11/17,SPOTIFY NEW YORK CITYNY,5.49,Merchandise
7/12/17,7/12/17,AMAZON.COM AMZN.COM/BILLWA43XI8HFOQWM,46.85,Merchandise
7/14/17,7/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA200ZS1FT MXJH3BGD0N-0,2.99,Merchandise
7/14/17,7/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA200ZS1FS MXJH28FY0S-0,5.49,Merchandise
7/16/17,7/16/17,AMAZON VIDEO ON DEMAND AMZN.COM/BILLWAMZDAO7QQQVV,3.99,Merchandise
7/17/17,7/17/17,PAYPAL *PERFORMANCE 402-935-7733 CA,25,Merchandise
7/20/17,7/20/17,INTEREST CHARGE ON PURCHASES,3.95,Interest
7/22/17,7/22/17,AMAZON VIDEO ON DEMAND AMZN.COM/BILLWAY6DQO7URMN6,3.99,Merchandise
7/25/17,7/25/17,AMAZON.COM AMZN.COM/BILLWA3Z98S32FUT7,6,Merchandise
7/27/17,7/28/17,AMAZON.COM AMZN.COM/BILLWA1KV87GC2ZFY,-46.85,Payments and Credits
7/31/17,7/31/17,APL* ITUNES.COM/BILL 866-712-7753 CA2010AHGB MXJHGM51X1-0,44.03,Merchandise
8/8/17,8/8/17,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
8/11/17,8/11/17,SPOTIFY NEW YORK CITYNY,5.49,Merchandise
8/12/17,8/12/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6TQJPKKFNAW,66.36,Merchandise
8/14/17,8/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA2010OZ9Q MXJHT1QKKT-0,2.99,Merchandise
8/14/17,8/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA2010OZ9P MXJHKVY4DF-0,5.49,Merchandise
8/20/17,8/20/17,GOOGLE *YOUTUBE VIDEOS G.CO/HELPPAY#CAP0FIMRZL,2.99,Services
8/20/17,8/20/17,INTEREST CHARGE ON PURCHASES,4.21,Interest
8/20/17,8/21/17,AMAZON VIDEO ON DEMAND AMZN.COM/BILLWALG5SYV79OOE,2.99,Merchandise
9/8/17,9/8/17,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-3.95,Awards and Rebate Credits
9/8/17,9/8/17,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
9/9/17,9/9/17,AMAZON VIDEO ON DEMAND AMZN.COM/BILLWAVRTPG8GEESL,3.99,Merchandise
9/10/17,9/10/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
9/10/17,9/10/17,SWEET NESS 7 CAFE BUFFALO NY,5.17,Restaurants
9/11/17,9/11/17,PAYPAL *EAT24 402-935-7733 CA,18.28,Restaurants
9/11/17,9/11/17,SPOTIFY NEW YORK CITYNY,10.99,Merchandise
9/12/17,9/12/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1CTH8RIBC32,7.98,Merchandise
9/14/17,9/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA2011LV61 MXJJLGYBJH-0,2.99,Merchandise
9/14/17,9/14/17,APL* ITUNES.COM/BILL 866-712-7753 CA2011LV5Z MXJJK1QNYW-0,5.49,Merchandise
9/20/17,9/20/17,INTEREST CHARGE ON PURCHASES,4.95,Interest
9/22/17,9/22/17,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-2.16,Awards and Rebate Credits
9/22/17,9/22/17,INTERNET PAYMENT - THANK YOU,-32.84,Payments and Credits
9/30/17,9/30/17,GOOGLE *GOOGLE PLAY G.CO/HELPPAY#CAP0FMZYLA,2.99,Services
10/2/17,10/2/17,WWW.1AND1.COM 877-461-2631 PA,5.17,Services
10/8/17,10/8/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4FU1N3JOMZ4,9.99,Merchandise
10/8/17,10/8/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
10/8/17,10/8/17,GOOGLE *GOOGLE PLAY G.CO/HELPPAY#CAP0FSLXUZ,2.99,Services
10/8/17,10/8/17,GOOGLE *GOOGLE PLAY G.CO/HELPPAY#CAP0FSFYU1,2.99,Services
10/11/17,10/11/17,SPOTIFY NEW YORK CITYNY,10.99,Merchandise
10/14/17,10/14/17,APL* ITUNES.COM/BILL 866-712-7753 CAMXJKJ3ST1YA0,2.99,Merchandise
10/14/17,10/14/17,APL* ITUNES.COM/BILL 866-712-7753 CAMXJKGT6M8FA0,5.49,Merchandise
10/16/17,10/16/17,GRUBHUBTOUCH 877-585-1085 NY,34.93,Restaurants
10/20/17,10/20/17,INTEREST CHARGE ON PURCHASES,4.99,Interest
10/23/17,10/23/17,AMAZON.COM AMZN.COM/BILLWA4ZVOUFSSX8O,7.43,Merchandise
10/24/17,10/24/17,AMAZON.COM AMZN.COM/BILLWATG5R4A8AQ1V,19.55,Merchandise
11/3/17,11/3/17,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-0.83,Awards and Rebate Credits
11/3/17,11/3/17,INTERNET PAYMENT - THANK YOU,-34.17,Payments and Credits
11/5/17,11/5/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
11/11/17,11/11/17,SPOTIFY NEW YORK CITYNY,4.99,Merchandise
11/14/17,11/14/17,APL* ITUNES.COM/BILL 866-712-7753 CAMXJLHLN7N6A0,2.99,Merchandise
11/14/17,11/14/17,APL* ITUNES.COM/BILL 866-712-7753 CAMXJLGJWKYDA0,5.49,Merchandise
11/15/17,11/15/17,APL* ITUNES.COM/BILL 866-712-7753 CAMXJLK8567XA0,44.03,Merchandise
11/15/17,11/15/17,GTINDIACLUB.COM 678-492-4065 GA,15.76,Merchandise
11/18/17,11/18/17,PAYPAL *UNITEDINDIA 402-935-7733 CA,64.14,Travel/ Entertainment
11/20/17,11/20/17,INTEREST CHARGE ON PURCHASES,6.38,Interest
11/25/17,11/25/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6CFBS0VU30C,18.3,Merchandise
11/29/17,11/29/17,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
12/1/17,12/1/17,GA TECH BUZZCARD WEB 877-6724228 GA,10,Education
12/3/17,12/3/17,POSTMATES GUS DUMPLING 877-887-7815 CAAPPLE PAY ENDING IN 7523,24.69,Travel/ Entertainment
12/5/17,12/5/17,DOORDASH-PLANET BOMBAY 650-681-9470 CA,35.29,Restaurants
12/7/17,12/7/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA10DU3UY7OMG,10.99,Merchandise
12/11/17,12/11/17,SPOTIFY NEW YORK CITYNY,4.99,Merchandise
12/12/17,12/12/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA7IKAEXG50LQ,7.87,Merchandise
12/13/17,12/13/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
12/14/17,12/14/17,APL* ITUNES.COM/BILL 866-712-7753 CAMXJMGYN6FDA0,2.99,Merchandise
12/15/17,12/15/17,INTERNET PAYMENT - THANK YOU,-600,Payments and Credits
12/25/17,12/25/17,GOOGLE *SERVICES G.CO/HELPPAY#CAP0GSJAF0,3.99,Services
12/28/17,12/28/17,GOOGLE *SERVICES G.CO/HELPPAY#CAP0GV3DQM,4.99,Services
1/20/18,1/20/18,INTEREST CHARGE ON PURCHASES,0.79,Interest
